,PC,Address,Recency,Frequency
116,0xb7fb3b3b,0xbf88ae94,307.0,39
117,0xb7fbebd7,0xb7fc19fd,91.0,97
118,0xb7fbebd7,0xb7fc49b8,2419.0,75
119,0xb7fb3b4d,0xb7fc49b4,inf,0
120,0xb7fb3b54,0xbf88ae90,290.0,45
121,0xb7fb3b58,0xbf88ae98,80.0,27
122,0xb7fb3b5e,0xb7fc49ac,2398.0,75
123,0xb7fb3b64,0xb7fc486c,2.0,30
124,0xb7fb3b6b,0xb7fc46e4,2377.0,81
125,0xb7fb3b79,0xbf88aed4,53.0,35
126,0xb7fb3b7c,0xbf88aecc,63.0,1041
127,0xb7fb3b7f,0xb7fc46f8,2334.0,11
128,0xb7fb3b82,0xbf88aea8,4.0,57
129,0xb7fb3b85,0xb7fc484c,2702.0,6
130,0xb7fb3b94,0xb7fc492c,inf,0
131,0xb7fb3b94,0xb7fc4934,inf,0
132,0xb7fb3b94,0xb7fc493c,inf,0
133,0xb7fb3b94,0xb7fc4944,inf,0
134,0xb7fb3b94,0xb7fc494c,inf,0
135,0xb7fb3b94,0xb7fc4954,inf,0
136,0xb7fb3b94,0xb7fc495c,inf,0
137,0xb7fb3b94,0xb7fc4964,inf,0
138,0xb7fb3b94,0xb7fc496c,inf,0
139,0xb7fb3b94,0xb7fc4974,inf,0
140,0xb7fb3b94,0xb7fc497c,inf,0
141,0xb7fb3b94,0xb7fc4984,inf,0
142,0xb7fb3b94,0xb7fc498c,inf,0
143,0xb7fb3b94,0xb7fc4994,inf,0
144,0xb7fb3b94,0xb7fc499c,inf,0
145,0xb7fb3b94,0xb7fc49a4,inf,0
146,0xb7fb3bb3,0xb7fc4020,4.0,38
147,0xb7fb3bbc,0xb7fc48ac,84820.0,30
148,0xb7fb3bc2,0xb7fc48a8,inf,0
149,0xb7fb3c04,0xb7fc4024,1.0,11
150,0xb7fb3c0f,0xb7fc42f8,1.0,11
151,0xb7fb3c16,0xb7fc42fc,1.0,11
152,0xb7fb3c45,0xb7fc4898,84971.0,45
153,0xb7fb3c4e,0xbf88ae98,207.0,26
154,0xb7fb3c56,0xb7fc48b0,inf,0
155,0xb7fb3c5c,0xb7fc19fd,285.0,96
156,0xb7fb3c65,0xbf88aea4,267.0,41
157,0xb7fb3c6b,0xbf88aeb8,100.0,42
158,0xb7fb3c6c,0xbf88aebc,96.0,49
159,0xb7fb3c6d,0xbf88aec0,94.0,41
160,0xb7fb3c6e,0xbf88aec4,92.0,50
161,0xb7fb3c6f,0xbf88aec8,90.0,53
162,0xb7fabfae,0xbf88af58,1.0,45
163,0xb7fabfd2,0xbf88b248,16.0,18
164,0xb7fabfd6,0xbf88b24c,93784.0,15
165,0xb7fabfd9,0xbf88b244,7.0,20
166,0xb7fabfdc,0xbf88af63,105.0,2
167,0xb7fabfe3,0xb7fc4838,inf,0
168,0xb7fabfea,0xbf88b250,93740.0,17
169,0xb7fabfec,0xb7fc4830,inf,0
170,0xb7fabff2,0xb7fc4834,inf,0
171,0xb7fac001,0xbf88af61,23.0,2
172,0xb7fac008,0xb7fc4868,1.0,1
173,0xb7fac00f,0xb7fc4890,32.0,6
174,0xb7fac019,0xb7fc4894,35.0,3
175,0xb7fac023,0xb7fc488c,24.0,4
176,0xb7fac06a,0x8048034,inf,0
177,0xb7fac235,0x804803c,inf,0
178,0xb7fac238,0xb7fc46e0,6.0,51
179,0xb7fac06a,0x8048054,inf,0
180,0xb7fac5fd,0xb7fc433c,48.0,16
181,0xb7fac603,0xb7fc4328,inf,0
182,0xb7fac609,0x804805c,inf,0
183,0xb7fac612,0xb7fc463c,49.0,13
184,0xb7fac06a,0x8048074,inf,0
185,0xb7fac596,0x8048090,inf,0
186,0xb7fac59b,0x804807c,5.0,1
187,0xb7fac5b9,0x8048088,inf,0
188,0xb7fac5ca,0x804808c,inf,0
189,0xb7fac06a,0x8048094,inf,0
190,0xb7fac596,0x80480b0,inf,0
191,0xb7fac59b,0x804809c,4.0,1
192,0xb7fac5b9,0x80480a8,inf,0
193,0xb7fac5ca,0x80480ac,inf,0
194,0xb7fac06a,0x80480b4,inf,0
195,0xb7fac6b5,0x80480bc,inf,0
196,0xb7fac6ba,0xb7fc46e8,42.0,2
197,0xb7fac06a,0x80480d4,inf,0
198,0xb7fac109,0xb7fc4908,inf,0
199,0xb7fac15d,0xb7fc4378,2368.0,5
200,0xb7fac167,0xb7fc4354,2369.0,31
201,0xb7fac16d,0xb7fc3f44,2370.0,31
202,0xb7fac17a,0xb7fc3f2c,19.0,6
203,0xb7fac17d,0xbf88aecc,7.0,1037
204,0xb7fac180,0xbf88aed0,5.0,135
205,0xb7fac184,0xbf88aec8,14.0,52
206,0xb7fbe6b0,0xbf88aec4,12.0,49
207,0xb7fbe6b3,0xbf88aec0,10.0,40
208,0xb7fbe6b4,0xbf88aebc,8.0,48
209,0xb7fbe6be,0xbf88aeb8,2.0,41
210,0xb7fbe6c1,0x80480f4,2298.0,23
211,0xb7fbe6cc,0xb7faa5b8,2334.0,16
212,0xb7fac196,0xb7fc462c,2336.0,6
213,0xb7fac1a0,0xb7fc4630,20422.0,1
214,0xb7fac1aa,0xb7fc4640,2.0,13
215,0xb7fac1ad,0xb7fc4628,2311.0,11
216,0xb7fac1c4,0xb7fc44ac,1949.0,31
217,0xb7fac1d1,0xbf88af63,148456.0,1
218,0xb7fac1f1,0x8058364,2060.0,1
219,0xb7fac202,0xb7fc4704,2.0,3
220,0xb7fac205,0x805836c,4366.0,1
221,0xb7fac205,0x8058374,6695.0,1
222,0xb7fac205,0x805837c,9175.0,1
223,0xb7fac202,0xb7fc4738,2213.0,8
224,0xb7fac205,0x8058384,9176.0,1
225,0xb7fac202,0xb7fc4730,inf,0
226,0xb7fac205,0x805838c,9177.0,1
227,0xb7fac202,0xb7fc4734,inf,0
228,0xb7fac205,0x8058394,9178.0,1
229,0xb7fac202,0xb7fc4710,45.0,1
230,0xb7fac205,0x805839c,9179.0,1
231,0xb7fac202,0xb7fc4714,2037.0,194
232,0xb7fac205,0x80583a4,9180.0,1
233,0xb7fac202,0xb7fc4718,29310.0,186
234,0xb7fac205,0x80583ac,9181.0,1
235,0xb7fac202,0xb7fc4728,inf,0
236,0xb7fac205,0x80583b4,9182.0,1
237,0xb7fac202,0xb7fc472c,inf,0
238,0xb7fac205,0x80583bc,9183.0,1
239,0xb7fac202,0xb7fc4754,1952.0,1
240,0xb7fac205,0x80583c4,9184.0,1
