,LFU Miss PC,LFU Miss Address
77691,0xb6629da3,0xb652c994
77692,0xb6629daf,0xb652c98c
77693,0xb6629e04,0xb65278a0
77694,0xb6629d8a,0xb652c9a6
77695,0xb6629da3,0xb652c9a4
77696,0xb6629daf,0xb652c99c
77697,0xb6629dc8,0xb652c9a0
77698,0xb6629e04,0xb65278a4
77699,0xb6629d8a,0xb652c9b6
77700,0xb6629da3,0xb652c9b4
77701,0xb6629daf,0xb652c9ac
77702,0xb6629e04,0xb65278a8
77703,0xb6629d8a,0xb652c9c6
77704,0xb6629da3,0xb652c9c4
77705,0xb6629daf,0xb652c9bc
77706,0xb6629e04,0xb65278ac
77707,0xb6629e14,0xbf888068
77708,0xb6629e19,0xbf888060
77709,0xb6629d60,0xb65260d8
77710,0xb6629d75,0xbf888070
77711,0xb6629d8a,0xb652c9d6
77712,0xb6629da3,0xb652c9d4
77713,0xb6629daf,0xb652c9cc
77714,0xb6629e04,0xb65278b0
77715,0xb6629d8a,0xb652c9e6
77716,0xb6629da3,0xb652c9e4
77717,0xb6629daf,0xb652c9dc
77718,0xb6629e04,0xb65278b4
77719,0xb6629d8a,0xb652c9f6
77720,0xb6629da3,0xb652c9f4
77721,0xb6629daf,0xb652c9ec
77722,0xb6629e04,0xb65278b8
77723,0xb6629d8a,0xb652ca06
77724,0xb6629da3,0xb652ca04
77725,0xb6629daf,0xb652c9fc
77726,0xb6629e04,0xb65278bc
77727,0xb6629e14,0xbf888068
77728,0xb6629e19,0xbf888060
77729,0xb6629d60,0xb65260dc
77730,0xb6629d75,0xbf888070
77731,0xb6629d8a,0xb652ca16
77732,0xb6629da3,0xb652ca14
77733,0xb6629daf,0xb652ca0c
77734,0xb6629e04,0xb65278c0
77735,0xb6629e14,0xbf888068
77736,0xb6629e19,0xbf888060
77737,0xb6629d60,0xb65260e0
77738,0xb6629d75,0xbf888070
77739,0xb6629d8a,0xb652ca26
77740,0xb6629da3,0xb652ca24
77741,0xb6629daf,0xb652ca1c
77742,0xb6629dc8,0xb652ca20
77743,0xb6629e04,0xb65278c4
77744,0xb6629d8a,0xb652ca36
77745,0xb6629da3,0xb652ca34
77746,0xb6629daf,0xb652ca2c
77747,0xb6629dc8,0xb652ca30
77748,0xb6629e04,0xb65278c8
77749,0xb6629e14,0xbf888068
77750,0xb6629e19,0xbf888060
77751,0xb6629d60,0xb65260e4
77752,0xb6629d75,0xbf888070
77753,0xb6629d8a,0xb652ca46
77754,0xb6629da3,0xb652ca44
77755,0xb6629daf,0xb652ca3c
77756,0xb6629e04,0xb65278cc
77757,0xb6629d8a,0xb652ca56
77758,0xb6629da3,0xb652ca54
77759,0xb6629daf,0xb652ca4c
77760,0xb6629e04,0xb65278d0
77761,0xb6629d8a,0xb652ca66
77762,0xb6629da3,0xb652ca64
77763,0xb6629daf,0xb652ca5c
77764,0xb6629e04,0xb65278d4
77765,0xb6629d8a,0xb652ca76
77766,0xb6629da3,0xb652ca74
77767,0xb6629daf,0xb652ca6c
77768,0xb6629dc8,0xb652ca70
77769,0xb6629e04,0xb65278d8
77770,0xb6629e14,0xbf888068
77771,0xb6629e19,0xbf888060
77772,0xb6629d60,0xb65260e8
77773,0xb6629d75,0xbf888070
77774,0xb6629d8a,0xb652ca86
77775,0xb6629da3,0xb652ca84
77776,0xb6629daf,0xb652ca7c
77777,0xb6629e04,0xb65278dc
77778,0xb6629d8a,0xb652ca96
77779,0xb6629da3,0xb652ca94
77780,0xb6629daf,0xb652ca8c
77781,0xb6629e04,0xb65278e0
77782,0xb6629e14,0xbf888068
77783,0xb6629e19,0xbf888060
77784,0xb6629d60,0xb65260ec
77785,0xb6629d75,0xbf888070
77786,0xb6629d8a,0xb652caa6
77787,0xb6629da3,0xb652caa4
77788,0xb6629daf,0xb652ca9c
77789,0xb6629e04,0xb65278e4
77790,0xb6629e14,0xbf888068
77791,0xb6629e19,0xbf888060
77792,0xb6629d60,0xb65260f0
77793,0xb6629e14,0xbf888068
77794,0xb6629e19,0xbf888060
77795,0xb6629d60,0xb65260f4
77796,0xb6629d75,0xbf888070
77797,0xb6629d8a,0xb652cab6
77798,0xb6629da3,0xb652cab4
77799,0xb6629daf,0xb652caac
77800,0xb6629e04,0xb65278e8
77801,0xb6629e14,0xbf888068
77802,0xb6629e19,0xbf888060
77803,0xb6629d60,0xb65260f8
77804,0xb6629d75,0xbf888070
77805,0xb6629d8a,0xb652cac6
77806,0xb6629da3,0xb652cac4
77807,0xb6629daf,0xb652cabc
77808,0xb6629e04,0xb65278ec
77809,0xb6629d8a,0xb652cad6
77810,0xb6629da3,0xb652cad4
77811,0xb6629daf,0xb652cacc
77812,0xb6629e04,0xb65278f0
77813,0xb6629e14,0xbf888068
77814,0xb6629e19,0xbf888060
77815,0xb6629d60,0xb65260fc
77816,0xb6629d75,0xbf888070
77817,0xb6629d8a,0xb652cae6
77818,0xb6629da3,0xb652cae4
77819,0xb6629daf,0xb652cadc
77820,0xb6629e04,0xb65278f4
77821,0xb6629d8a,0xb652caf6
77822,0xb6629da3,0xb652caf4
77823,0xb6629daf,0xb652caec
77824,0xb6629dc8,0xb652caf0
77825,0xb6629e04,0xb65278f8
77826,0xb6629d8a,0xb652cb06
77827,0xb6629da3,0xb652cb04
77828,0xb6629daf,0xb652cafc
77829,0xb6629e04,0xb65278fc
77830,0xb6629e14,0xbf888068
77831,0xb6629e19,0xbf888060
77832,0xb6629d60,0xb6526100
77833,0xb6629d75,0xbf888070
77834,0xb6629d8a,0xb652cb16
77835,0xb6629da3,0xb652cb14
77836,0xb6629daf,0xb652cb0c
77837,0xb6629e04,0xb6527900
77838,0xb6629d8a,0xb652cb26
77839,0xb6629da3,0xb652cb24
77840,0xb6629daf,0xb652cb1c
77841,0xb6629dc8,0xb652cb20
77842,0xb6629e04,0xb6527904
77843,0xb6629d8a,0xb652cb36
77844,0xb6629da3,0xb652cb34
77845,0xb6629daf,0xb652cb2c
77846,0xb6629dc8,0xb652cb30
77847,0xb6629e04,0xb6527908
77848,0xb6629e14,0xbf888068
