,LFU Miss Address
283,0x80480b4
284,0x80480bc
285,0xfd1500
286,0x80480d4
287,0x80480f4
288,0x8048114
289,0x804812c
290,0xfd1408
291,0xfd1714
292,0xfd11dc
293,0xbfe9cf2d
294,0xfd1500
295,0x805b440
296,0xfd151c
297,0x805b448
298,0xfd151c
299,0x805b450
300,0xfd151c
301,0x805b458
302,0x805b460
303,0xfd1548
304,0x805b468
305,0xfd154c
306,0x805b470
307,0xfd1528
308,0x805b478
309,0xfd152c
310,0x805b480
311,0xfd1530
312,0x805b488
313,0xfd1540
314,0x805b490
315,0xfd1544
316,0x805b498
317,0xfd156c
318,0x805b4a0
319,0xfd1524
320,0x805b4a8
321,0xfd1520
322,0x805b4b0
323,0xfd1568
324,0x805b4b8
325,0xfd1574
326,0x805b4c0
327,0xfd155c
328,0x805b4c8
329,0xfd1560
330,0x805b4d0
331,0xfd1564
332,0x805b4d8
333,0xfd15a4
334,0x805b4e0
335,0xfd15a0
336,0x805b4e8
337,0xfd15dc
338,0x805b4f0
339,0xfd1590
340,0xfd15b0
341,0xfd158c
342,0xbfe9cf90
343,0xbfe9cf2d
344,0xfd0ed8
345,0xbfe9cd2c
346,0xbfe9cd28
347,0xbfe9cca8
348,0xbfe9cd24
349,0xfd0cb0
350,0xfd0cac
351,0xbfe9ccac
352,0xbfe9cca4
353,0xbfe9cca0
354,0xbfe9cc9c
355,0xbfe9cc98
356,0xbfe9cc5c
357,0xbfe9cc90
358,0xfd0cdc
359,0xbfe9cc94
360,0xfd0ce0
361,0xbfe9cc8c
362,0xfd0ce4
363,0xbfe9cc78
364,0xbfe9cc84
365,0xbfe9cc74
366,0xbfe9cc7c
367,0xbfe9cc74
368,0xbfe9cc7c
369,0xbfe9cc84
370,0xbfe9cc50
371,0xbfe9cc38
372,0xbfe9cc34
373,0xbfe9cc38
374,0xfd0db8
375,0xfd0dbc
376,0xbfe9cc38
377,0xbfe9cc34
378,0xbfe9cc84
379,0xbfe9cc54
380,0xbfe9cc94
381,0xbfe9cc84
382,0xbfe9cc94
383,0xbfe9cc90
384,0xbfe9cc58
385,0xbfe9cc5c
386,0xbfe9cc78
387,0xbfe9cc60
388,0xbfe9cc64
389,0xbfe9cc78
390,0xbfe9cc54
391,0xbfe9cc64
392,0xbfe9cc8c
393,0xfd0ef8
394,0xbfe9cc38
395,0xbfe9cc34
396,0xfd0fe4
397,0xbfe9cc30
398,0xbfe9cc2c
399,0xbfe9cc20
400,0xbfe9cc24
401,0xbfe9cc28
402,0xbfe9cc20
403,0xfd0fe0
404,0xbfe9cc1c
405,0xbfe9cc10
406,0xbfe9cc14
407,0xbfe9cc24
408,0xbfe9cc18
409,0xbfe9cc28
410,0xbfe9cbf4
411,0xfd14b4
412,0xfd14b0
413,0xfd14b8
414,0xfd14b0
415,0xbfe9cc10
416,0xbfe9cc14
417,0xbfe9cc18
418,0xbfe9cc1c
419,0xbfe9cc2c
420,0xbfe9cc30
421,0xbfe9cc34
422,0xbfe9cc88
423,0xbfe9cc8c
424,0xbfe9cc88
425,0xfd0ef8
426,0xfd1748
427,0xfd1750
428,0xbfe9cc80
429,0xbfe9cc70
430,0xbfe9cc64
431,0xbfe9cc40
432,0xbfe9cc60
433,0xbfe9cc3c
434,0xbfe9cc40
435,0xbfe9cc3c
436,0xfcdd5b
437,0xfd1788
438,0xfcdd5c
439,0xfd1789
440,0xfcdd5e
441,0xfd178b
442,0xbfe9cc70
443,0xbfe9cc40
444,0xbfe9cc58
445,0xbfe9cc3c
446,0xbfe9cc40
447,0xbfe9cc3c
448,0xbfe9d3db
449,0xfd178c
450,0xfd1790
451,0xbfe9cc54
452,0xbfe9cc50
453,0xfd0db8
454,0xfd1791
455,0xfd1795
456,0xbfe9cc64
457,0xbfe9cc60
458,0xfcdd5b
459,0xfd1796
460,0xfcdd5c
461,0xfd1797
462,0xfcdd5e
463,0xfd1799
464,0xbfe9cc70
465,0xbfe9cc54
466,0xbfe9cc50
467,0xfd0db8
468,0xfd179a
469,0xfd179e
470,0xbfe9cc88
471,0xfd174c
472,0xbfe9cc88
473,0xfd1754
474,0xbfe9cc88
475,0xfd175c
476,0xfd1764
477,0xfd176c
478,0xfd1774
479,0xfd177c
480,0xfd1784
481,0xbfe9cc6c
482,0xbfe9cc64
483,0xbfe9cc6c
484,0xfd174c
485,0xbfe9cc6c
486,0xfd1754
487,0xfd175c
488,0xfd1764
489,0xfd174c
490,0xfd1754
491,0xfd176c
492,0xfd1774
493,0xbfe9cc54
494,0xfd175c
495,0xfd176c
496,0xfd177c
497,0xbfe9cc80
498,0xfd1748
499,0xfd1758
500,0xfd1760
501,0xbfe9cc80
502,0xfd1748
503,0xfd1768
504,0xbfe9cc80
505,0xfd1750
506,0xfd1770
507,0xbfe9cc80
508,0xfd1758
509,0xfd1778
510,0xfd1760
511,0xfd1780
512,0xbfe9ccac
513,0xfd0efc
514,0xbfe9cc98
515,0xbfe9cc9c
516,0xbfe9cca0
517,0xbfe9cca4
518,0xfd0ef4
519,0xbfe9ccac
520,0xfd0fe4
521,0xbfe9cca4
522,0xbfe9cca0
523,0xbfe9ccac
524,0xbfe9cc94
525,0xbfe9cc98
526,0xbfe9cc9c
527,0xfd0fe0
528,0xbfe9cc90
529,0xbfe9cc98
530,0xbfe9cc8c
531,0xbfe9cc9c
532,0xbfe9cc68
533,0xfd14b4
534,0xfd14b0
535,0xfd14b8
536,0xfd14b0
537,0xbfe9cc8c
538,0xbfe9cc90
539,0xbfe9cca0
540,0xbfe9cca4
541,0xfd0f00
542,0xfd0ef8
543,0xbfe9cd18
544,0xbfe9ccac
545,0xfd0fe4
546,0xbfe9cca4
547,0xbfe9cca0
548,0xbfe9ccac
549,0xbfe9cc98
550,0xbfe9cc9c
551,0xfd0fe0
552,0xbfe9cc90
553,0xbfe9cc98
554,0xbfe9cc8c
555,0xbfe9cc9c
556,0xbfe9cc68
557,0xfd14b4
558,0xfd14b0
559,0xfd14b8
560,0xbfe9cc90
561,0xbfe9cca0
562,0xbfe9cca4
563,0xfd17a0
564,0xfd0f00
565,0xfd17a0
566,0xfd11b8
567,0xbfe9cd18
568,0xbfe9cd1c
569,0xfd0ef8
570,0xfd0f04
571,0xbfe9cd20
572,0xbfe9ccdc
573,0xbfe9cd14
574,0xfd17a0
575,0xbfe9ccdc
576,0xfd17b8
577,0xbfe9cd1c
578,0xfd17b4
579,0xbfe9cd20
580,0xfd17bc
581,0xfcce30
582,0xbfe9cd1c
583,0xfd17c0
584,0xbfe9cd1c
585,0xfd17c4
586,0xfd17c8
587,0xfd17cc
588,0xfd17d0
589,0xfd17d4
590,0xfd17d8
591,0xfd17dc
592,0xfd17e0
593,0xbfe9cd20
594,0xbfe9cd14
595,0xfd17b0
596,0xfd17a4
597,0xbfe9ccdc
598,0xfd17f4
599,0xfd17f0
600,0xfd17f8
601,0xfcce34
602,0xfd17fc
603,0xfd1800
604,0xfd1804
605,0xfd1808
606,0xfd180c
607,0xfd1810
608,0xfd1814
609,0xfd1818
610,0xfd181c
611,0xbfe9cd14
612,0xfd17ec
613,0xfd17a8
614,0xfd1468
615,0xfd1000
616,0xfd158c
617,0xfd16d4
618,0xfd1554
619,0xfd1684
620,0xbfe9cd24
621,0xfd11b8
622,0xfd0eec
623,0xfd0e18
624,0xbfe9cd28
625,0xbfe9cd2c
626,0xbfe9cd30
627,0xbfe9cd34
628,0xfd11c4
629,0xfd11dc
630,0xfd1444
631,0xfd11c4
632,0xfd1340
633,0xfd1004
634,0xfd1340
635,0xbfe9ce10
636,0xfd1198
637,0xfd15a4
638,0xfd119c
639,0xfd1504
640,0xfd11d0
641,0xbfe9cf90
642,0xfd1634
643,0xfd156c
644,0xbfe9ceab
645,0xfd1530
646,0xfd152c
647,0x805b484
648,0xfd1664
649,0xbfe9cea4
650,0x805b47c
651,0xbfe9cde8
652,0xbfe9cea0
653,0xfd1668
654,0xbfe9cde4
655,0x804823c
656,0xbfe9ce9c
657,0xbfe9ce04
658,0xfd166c
659,0xbfe9cde0
660,0xbfe9ce9c
661,0xbfe9cea4
662,0xbfe9cea0
663,0x8048688
664,0xbfe9ce98
665,0xbfe9ce04
666,0x80490ef
667,0xbfe9ce9c
668,0xbfe9cde0
669,0x8048360
670,0xbfe9ce9c
671,0xbfe9cea4
672,0xbfe9cea0
673,0x8048558
674,0xbfe9ce98
675,0xbfe9ce04
676,0x8049064
677,0xbfe9ce9c
678,0xbfe9cde0
679,0x8048314
680,0xbfe9cde4
681,0xbfe9cde8
682,0x80482f0
683,0xbfe9cdbc
684,0xbfe9ce00
685,0xfd166c
686,0xbfe9cdb8
687,0xbfe9cdbc
688,0xbfe9cea4
689,0xbfe9cea0
690,0x8048b38
691,0xbfe9ce94
692,0xbfe9ce00
693,0x8048cbd
694,0xbfe9cdbc
695,0xbfe9cdb8
696,0x804848c
697,0xbfe9cdbc
698,0xbfe9cea4
699,0xbfe9cea0
700,0x80486d8
701,0xbfe9ce94
702,0xbfe9ce00
703,0x8048ff3
704,0xbfe9cdbc
705,0xbfe9cdb8
706,0x8048374
707,0xbfe9cdbc
708,0xbfe9ceab
709,0xfd0e04
710,0xfd14f8
711,0xfd0e04
712,0xfd1360
713,0xfba01c
714,0xfba02c
715,0xfd130c
716,0xfd1314
717,0xfba02c
718,0xfba0d4
719,0xfba0dc
720,0xfd13f8
721,0xfba0e8
722,0xfd13fc
723,0xbfe9ce90
724,0xfd0edc
725,0xbfe9ce8c
726,0xbfe9cd40
727,0xbfe9cdf8
728,0xbfe9cd3c
729,0xbfe9cd40
730,0xbfe9cd3c
731,0xbfe9cd34
732,0xfd14dc
733,0xfd15a4
734,0xfd11cc
735,0xfd0e28
736,0xbfe9ce84
737,0xbfe9cd40
738,0xbfe9cf90
739,0xbfe9ce8c
740,0xbfe9ce90
741,0xbfe9cd30
742,0xbfe9cd2c
743,0xbfe9cd28
744,0xbfe9ccf4
745,0xbfe9ccec
746,0xbfe9ccf4
747,0xbfe9ccf0
748,0xbfe9ccf4
749,0xbfe9cc50
750,0xbfe9cd24
751,0xbfe9cc58
752,0xfd1678
753,0xbfe9cc30
754,0xfd1678
755,0xbfe9ccec
756,0xbfe9cce0
757,0xbfe9ccd8
758,0xbfe9cd24
759,0xfd14dc
760,0xbfe9cce8
761,0xbfe9cc58
762,0xbfe9cce4
763,0xbfe9ccdc
764,0xfd14dc
765,0xbfe9ccd0
766,0xbfe9cce8
767,0xbfe9cccc
768,0xbfe9cc50
769,0xfd1650
770,0xbfe9ccd4
771,0xfd16dc
772,0xbfe9ccf4
773,0xbfe9ccd4
774,0xfd151c
775,0xbfe9ccd4
776,0xbfe9cd40
777,0xfd152c
778,0x805b47c
779,0xbfe9cd04
780,0xbfe9ccc8
781,0xbfe9cd0c
782,0xfd1500
783,0xbfe9cd08
784,0xbfe9cd00
785,0xbfe9ccc0
786,0x805b440
787,0xbfe9ccc4
788,0xbfe9ccc0
789,0xbfe9ccc8
790,0x805b444
791,0xbfe9cc30
792,0xbfe9cc2c
793,0x8048c69
794,0x8048c6a
795,0x8048c6b
796,0x8048c6c
797,0x8048c70
798,0xbfe9cc2c
799,0xbfe9cc30
800,0xbfe9cd10
801,0xbfe9cc30
802,0xbfe9cc2c
803,0xbfe9cc28
804,0xbfe9cb60
805,0xbfe9cb58
806,0xbfe9cb40
807,0xbfe9cb5c
808,0xbfe9cb68
809,0xfd11bc
810,0xbfe9cb40
811,0xbfe9cb3c
812,0xbfe9cb40
813,0xbfe9cb54
814,0xfd1440
815,0xbfe9cb44
816,0xbfe9cc20
817,0xbfe9cb40
818,0xbfe9cb44
819,0xbfe9cb6c
820,0xbfe9cb70
821,0xbfe9cb74
822,0xbfe9cb7c
823,0xbfe9cb40
824,0xbfe9cb80
825,0xbfe9cb78
826,0xbfe9cb84
827,0xbfe9cb40
828,0xbfe9cb54
829,0xfd1440
830,0xbfe9cb44
831,0xbfe9cb58
832,0xbfe9cb3c
833,0xbfe9cb38
834,0xbfe9cb34
835,0xbfe9cb44
836,0xbfe9cd00
837,0xbfe9cd10
838,0xfd1510
839,0xbfe9cb30
840,0xbfe9cd08
841,0xbfe9cb2c
842,0xbfe9cd04
843,0xbfe9cb28
844,0xfd1678
845,0xbfe9cb24
846,0xbfe9cd00
847,0xbfe9cb20
848,0xbfe9cb1c
849,0xbfe9cb18
850,0xbfe9cb14
851,0xbfe9cb10
852,0xbfe9c890
853,0xbfe9c8b0
854,0xbfe9cb30
855,0xbfe9c8bc
856,0xbfe9c8f0
857,0xbfe9c8bc
858,0xbfe9c8f4
859,0xfd1000
860,0xfd1679
861,0xbfe9c8b0
862,0xbfe9c890
863,0xbfe9c88c
864,0xbfe9c888
865,0xbfe9c884
866,0xbfe9c880
867,0xfd14fc
868,0xbfe9c874
869,0xbfe9c878
870,0xbfe9c87c
871,0xbfe9c874
872,0xbfe9c878
873,0xbfe9c87c
874,0x8048c69
875,0xfcd852
876,0xbfe9c874
877,0xfd1514
878,0xfd1738
879,0xbfe9c878
880,0xbfe9c87c
881,0xbfe9c874
882,0xbfe9c878
883,0xbfe9c87c
884,0x8048c69
885,0xfd1744
886,0xbfe9c874
887,0xfd173c
888,0xbfe9c880
889,0xbfe9c884
890,0xbfe9c888
891,0xbfe9c88c
892,0xbfe9c890
893,0xfd1679
894,0xfd1550
895,0xfd1504
896,0xfd1341
897,0xbfe9c8b0
898,0xbfe9c890
899,0xbfe9c88c
900,0xbfe9c888
901,0xbfe9c884
902,0xbfe9c880
903,0xfd11c4
904,0xbfe9c874
905,0xbfe9c878
906,0xbfe9c87c
907,0xbfe9c878
908,0xbfe9c87c
909,0x8048c69
910,0x8048134
911,0xfd11dc
912,0xfd1444
913,0xbfe9c878
914,0xbfe9c87c
915,0xbfe9c878
916,0xbfe9c87c
917,0x8048c69
918,0x8048134
919,0xfd1448
920,0xbfe9c880
921,0xbfe9c884
922,0xbfe9c888
923,0xbfe9c88c
924,0xbfe9c890
925,0xfd1341
926,0xfd1218
927,0xfd0f18
928,0xfd11f4
929,0xbfe9c8e8
930,0xfd0f28
931,0xbfe9c8e8
932,0xbfe9c898
933,0xbfe9c8b0
934,0xbfe9c894
935,0xbfe9c890
936,0xbfe9c894
937,0xbfe9c898
938,0x8048c69
939,0xfba548
940,0x8048c6a
941,0xfba549
942,0xfd11cc
943,0xfd0ca0
944,0xbfe9c898
945,0xbfe9c8b0
946,0xbfe9c894
947,0xbfe9c88c
948,0xbfe9c894
949,0xbfe9c898
950,0x8048c69
951,0x8048c6a
952,0x8048c6b
953,0x8048c6c
954,0x8048c70
955,0xbfe9c88c
956,0xbfe9c8b0
957,0xbfe9c894
958,0x8048c69
959,0x8048c6a
960,0x8048c6b
961,0x8048c6c
962,0x8048c70
963,0xbfe9c894
964,0xfd0ca0
965,0xbfe9c8dc
966,0xbfe9c8f4
967,0xbfe9c8ec
968,0xbfe9c8f4
969,0xfd158c
970,0xbfe9c8f4
971,0xbfe9c8d8
972,0xfd1684
973,0xbfe9c8b8
974,0xbfe9c8ec
975,0xfd1660
976,0xbfe9c8ec
977,0xfd1000
978,0xfd1678
979,0xbfe9c8f4
980,0xfd0eec
981,0xbfe9c8ec
982,0xbfe9c8f4
983,0xfd16d4
984,0xbfe9c8ec
985,0xbfe9c8f0
986,0xbfe9c8b0
987,0xbfe9c88c
988,0xbfe9c888
989,0xbfe9c884
990,0xbfe9c880
991,0xbfe9c7f4
992,0xfd0ca0
993,0xbfe9c87c
994,0xfd146c
995,0xbfe9c7f4
996,0xbfe9c7f0
997,0xbfe9c7e4
998,0xbfe9c7e8
999,0xbfe9c760
1000,0xbfe9c7ec
1001,0xbfe9c768
1002,0xbfe9c780
1003,0xbfe9c77c
1004,0xbfe9c764
1005,0xbfe9c760
1006,0xbfe9c75c
1007,0xbfe9c76c
1008,0xbfe9c768
1009,0xbfe9c764
1010,0xbfe9c75c
1011,0xbfe9c760
1012,0xbfe9c768
1013,0xbfe9c76c
1014,0xbfe9c764
1015,0xbfe9c760
1016,0xbfe9c75c
1017,0xbfe9c750
1018,0xbfe9c700
1019,0xbfe9c754
1020,0xfd0ff8
1021,0xbfe9c758
1022,0xfd14d8
1023,0xfd14dc
1024,0xbfe9c768
1025,0xbfe9c76c
1026,0xbfe9c7dc
1027,0xbfe9c790
1028,0xbfe9c750
1029,0xbfe9c754
1030,0xbfe9c758
1031,0xbfe9c75c
1032,0xbfe9c760
1033,0xbfe9c7b0
1034,0xfd1474
1035,0xbfe9c774
1036,0xbfe9c780
1037,0xbfe9c770
1038,0xbfe9c778
1039,0xbfe9c76c
1040,0xbfe9c768
1041,0xbfe9c764
1042,0xbfe9c760
1043,0xbfe9c77c
1044,0xbfe9c764
1045,0xbfe9c77c
1046,0xbfe9c7e4
1047,0xbfe9c7e8
1048,0xbfe9c7ec
1049,0xbfe9c7f0
1050,0xbfe9c7f4
1051,0xbfe9c864
1052,0xfd1474
1053,0xbfe9c830
1054,0xbfe9c864
1055,0xb74c7000
1056,0xbfe9c864
1057,0xb74c700c
1058,0xfd146c
1059,0xbfe9c830
1060,0xfd1470
1061,0xb74ca9e8
1062,0xbfe9c864
1063,0xbfe9c868
1064,0xfd1470
1065,0xbfe9c854
1066,0xbfe9c820
1067,0xfd1474
1068,0xfd0cac
1069,0xbfe9c848
1070,0xbfe9c86c
1071,0xbfe9c7fc
1072,0xbfe9c848
1073,0xbfe9c7f8
1074,0xbfe9c7f4
1075,0xbfe9c7f8
1076,0xbfe9c7fc
1077,0xbfe9d3db
1078,0xfd0de8
